time,value,run
11.930012,0,11
11.931012,0,11
11.932012,0,11
11.933012,0,11
11.934012,0,11
11.935012,0,11
11.936012,0,11
11.937012,0,11
11.938012,0,11
11.939012,1,11
11.940012,0,11
11.941012,0,11
11.942012,0,11
11.943012,0,11
11.944012,0,11
11.945012,1,11
11.946012,0,11
11.947016,0,11
11.948012,0,11
11.949012,0,11
11.950012,0,11
11.951012,0,11
11.952012,0,11
11.953012,0,11
11.954012,0,11
11.955012,0,11
11.956016,0,11
11.957012,0,11
11.958012,0,11
11.959012,0,11
11.960012,0,11
11.961012,0,11
11.962012,0,11
11.963012,0,11
11.964012,0,11
11.965012,0,11
11.966012,0,11
11.967012,0,11
11.968012,0,11
11.969012,0,11
11.970012,0,11
11.971012,0,11
11.972012,0,11
11.973012,0,11
11.974012,0,11
11.975012,0,11
11.976012,0,11
11.977012,0,11
11.978012,1,11
11.979012,0,11
11.980012,1,11
11.981012,0,11
11.982012,0,11
11.983012,0,11
11.984012,0,11
11.985012,0,11
11.986012,0,11
11.987012,0,11
11.988012,0,11
11.989012,0,11
11.990012,0,11
11.991012,0,11
11.992012,0,11
11.993012,0,11
11.994012,2,11
11.995012,3,11
11.996012,1,11
11.997012,0,11
11.998012,0,11
11.999012,0,11
12.000012,0,11
12.001012,0,12
12.002012,0,12
12.003012,1,12
12.004012,0,12
12.005012,0,12
12.006012,0,12
12.007012,0,12
12.008012,0,12
12.009012,0,12
12.010012,0,12
12.011012,0,12
12.012012,0,12
12.013012,0,12
12.014012,0,12
12.015012,0,12
12.016012,0,12
12.017012,2,12
12.018012,0,12
12.019012,0,12
12.020012,0,12
12.021012,0,12
12.022012,2,12
12.023012,2,12
12.024012,0,12
12.025012,0,12
12.026012,0,12
12.027012,0,12
12.028012,0,12
12.029012,0,12
12.030012,1,12
12.031012,2,12
12.032016,2,12
12.033016,0,12
12.034016,0,12
12.035016,0,12
12.036012,0,12
12.037016,0,12
12.038012,0,12
12.039012,0,12
12.040012,0,12
12.041012,0,12
12.042012,0,12
12.043012,0,12
12.044012,0,12
12.045012,0,12
12.046012,0,12
12.047012,0,12
12.048012,0,12
12.049016,0,12
12.050012,0,12
12.051012,0,12
12.052016,0,12
12.053012,0,12
12.054012,1,12
12.055012,0,12
12.056012,0,12
12.057012,0,12
12.058012,0,12
12.059012,1,12
12.060012,0,12
12.061012,0,12
12.062012,0,12
12.063012,0,12
12.064012,0,12
12.065012,0,12
12.066012,0,12
12.067012,0,12
12.068012,0,12
12.069012,0,12
12.070012,0,12
12.071012,0,12
12.072012,0,12
12.073012,0,12
12.074012,0,12
12.07502,0,12
12.076012,0,12
12.077012,0,12
12.078012,0,12
12.079012,0,12
12.080012,0,12
12.081012,0,12
12.082012,0,12
12.083012,1,12
12.084016,0,12
12.085012,0,12
12.086012,0,12
12.087012,0,12
12.088012,0,12
12.089012,0,12
12.090012,0,12
12.091012,0,12
12.092012,0,12
12.093012,0,12
12.094012,0,12
12.095012,0,12
12.096012,2,12
12.097016,0,12
12.098012,0,12
12.099012,0,12
12.100012,0,12
12.101012,0,12
12.102012,0,12
12.103012,0,12
12.104012,0,12
12.105012,0,12
12.106012,0,12
12.107012,0,12
12.108012,0,12
12.109012,0,12
12.110012,0,12
12.111012,0,12
12.112012,0,12
12.113012,0,12
12.114012,0,12
12.115012,0,12
12.116012,0,12
12.117012,0,12
12.118012,0,12
12.119012,0,12
12.120012,0,12
12.121012,0,12
12.122012,0,12
12.123012,0,12
12.124012,0,12
12.125012,0,12
12.126012,0,12
12.127012,0,12
12.128012,0,12
12.129012,0,12
12.130012,0,12
12.131012,0,12
12.132012,0,12
12.133012,0,12
12.134012,0,12
12.135012,0,12
12.136012,2,12
12.137012,1,12
12.138012,0,12
12.139012,0,12
12.140012,0,12
12.141012,0,12
12.142012,0,12
12.143012,0,12
12.144012,0,12
12.145012,0,12
12.146012,0,12
12.147012,0,12
12.148016,0,12
